sample_name,include,habitat_depth_level1,habitat_act_collection,observed_otus,shannon,chao1,ph_cells_per_g_log,PD_whole_tree,goods_coverage,ph_cells_per_g,ph_cells_per_g_log,ph_cells_per_mg,ph_extrapolated_cells_per_60ul_total,ph_extrapolated_cells_per_extra_ln,ph_extrapolated_cells_per_pcr_total,ph_log_reads,ph_r1150,ph_reads_per_mg,ph_total_reads,altitude,anonymized_name,bile_sample,biomass_even,biomass_quartile,climate,collection_substrate,collection_timestamp,collection_year,common_name,condition_factor,conservation_status,control,control_2,control_cell_into_extraction,control_org,depth_high_range_m,depth_low_range_m,depth_m,description,diet,diet_reference,dist_to_dorsal_cm,distance_from_shore_m,distance_from_shore_m_log,dna_extracted,dnaplate_column,dnaplate_row,dnaplate_well_id,elevation,empo_1,empo_2,empo_3,env,env0,env_biome,env_feature,env_material,env_package,evo_distanceto_mackerel_median_mya,evo_timetree_species_name,extraction_cleanup,extraction_date,extraction_lot,extraction_mass_g,extraction_notes,extraction_notes_gill,extraction_plate_name,fish_collection_method,fl_cm,fmp_number,gamma_include,gape_cm,general_location,geo_loc_name,gi_cm,hab_notes,hab_sum,habitat_act_collection,habitat_be,habitat_cp,habitat_depth_level1,habitat_depth_level2,habitat_drf,habitat_dslp,habitat_is,habitat_kbrf,habitat_mdrf,habitat_ms,habitat_os,habitat_p,habitat_ref,habitat_rit,habitat_rst,habitat_sslp,habitat_sz,host_age,host_age_units,host_body_habitat,host_body_mass_index,host_body_product,host_body_site,host_common_name,host_common_name_,host_height,host_height_units,host_life_stage,host_scientific_name,host_subject_id,host_taxid,host_weight,host_weight_units,include_st,latitude,longitude,mass_g,mass_g_log,max_age,max_kg_grams,max_tl_cm,method_gear,month,name,notes,notes_on_dissection,num_order,number_db,ocean_basin,p_class,p_fam_common,p_family,p_genus,p_genus_species,p_order,pcr_order,physical_specimen_location,physical_specimen_remaining,prey_annelids,prey_arthropods,prey_echinoderms,prey_invertebrate,prey_large_fish,prey_mollusks,prey_phytoplankton_algae,prey_shark_marine_mammal,prey_small_fish,prey_zooplankton,primer_plate,qiita_study_id,radii,ratio_dorsal_to_tl,ratio_gape_to_tl,ratio_gi_to_tl,reproductive_process,salinity_tolerance,salinity_tolerance_migration,sample_type,sample_type_2,sample_type_descriptive,sample_types,scientific_name,sd_or_la,season,sex,sjbg_gill,sjbg_gill_direction,sjbg_gill_number,sjbg_gill_orientation,sjbg_gill_sample,sjbg_gill_tissue,sjbg_gill_type,sourcesink,substrata_collection,substrata_group,swim_acceleration,swim_endurance,swim_mode,swim_performance,taxon_id,title,title_fmp_core,tl_cm,trophic,trophic_likely,type_habitat_nonbay_bol,total_reads,log_total_reads,estimated_biomass_per_pcrrxn,estimated_biomass_per_dnarxn,estimated_cells_per_g,log_estimated_cells_per_g
13414.70.gill,1,deep,DSLP,44,4.113722872,45.36363636,2.784868327,6.558247527,0.99494524,52,1.716003344,0,7,-0.208645836,1,3.074450719,1,98917,1187,Not applicable,70.gill,FALSE,1,1,deep water,deep water benthic,3/9/19,2019,earned blacksmelt,0.5667,NE,0,0,,0,6100,930,500,70.gill,planktivore,https://www.sciencedirect.com/science/article/pii/S0079661199000178,1.7,27530,4.439806211,TRUE,9,f,f9,0,Host-associated,Animal,Animal corpus,70gill,gill,marine biome,animal-associated habitat,organic material,host-associated,199,Bathylagus euryops,clearmag beads KF,9/14/20,PS16L1,0.012,all tissue used,WG,FMP101_P4_gill_1.88,Isaacs  Kidd Midwater Trawl,3,70,0,0.2,Trawl3,USA:CA:San Diego,1.1,deep water,1,DSLP,0,0,deep,abyssalpelagic,0,1,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.566666667,UBERON:mucus,UBERON:gill,Earned blacksmelt,Earned blacksmelt,3,cm,Missing: not collected,Lipolagus ochotensis,FMP_70,170193,0.153,grams,1,32.70094444,-117.5519444,0.153,-0.815308569,,,17.3,midwater trawl,3,70.gill,,,646,,Eastern Pacific,Actinopterygii,deep-sea smelts,Bathylagidae,Lipolagus,Lipolagus ochotensis,Argentiniformes,742,SIO,Missing: not collected,,,,1,,,1,,,,8,13414,,0.566666667,0.066666667,0.366666667,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Lipolagus ochotensis,,winter,Unknown,,,,,,,,sink,sandy bottom,deep water benthic,2,2,Subcarangiform,generalist,170193,FMP101,1,3,2,2,TRUE,1219,3.086003706,0.60935212,7.312225442,609.3521201,2.784868327
13414.78.gill,1,deep,DSLP,177,2.012275088,191.0909091,6.389835574,20.95932204,0.998756668,205213,5.312204869,205,315207,4.419413952,26267,4.39788789,1,195289,24997,Not applicable,78.gill,FALSE,2,3,deep water,deep water benthic,3/9/19,2019,slender snipe eel,0.0064,LC,0,0,,0,4337,100,500,78.gill,crustaceans,fishbase.org,8.4,27530,4.439806211,TRUE,10,f,f10,0,Host-associated,Animal,Animal corpus,78gill,gill,marine biome,animal-associated habitat,organic material,host-associated,284,Nemichthys scolopaceus,clearmag beads KF,9/14/20,PS16L1,0.128,,WG,FMP101_P4_gill_1.88,Isaacs  Kidd Midwater Trawl,94.9,78,0,9.5,Trawl3,USA:CA:San Diego,38,deep sea,3,DSLP,0,0,deep,abyssalpelagic,0,1,0,0,0,0,1,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,1,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.006376728,UBERON:mucus,UBERON:gill,Snipe eel,Snipe eel,94.9,cm,Missing: not collected,Nemichthys scolopaceus,FMP_78,118170,54.5,grams,1,32.70094444,-117.5519444,54.5,1.736396502,,,130,midwater trawl,3,78.gill,,,654,,Eastern Pacific,Actinopterygii,snipe eels,Nemichthyidae,Nemichthys,Nemichthys scolopaceus,Anguilliformes,750,SIO,Missing: not collected,,1,,1,,,,,,,8,13414,,0.088514226,0.100105374,0.400421496,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Nemichthys scolopaceus,na,winter,Unknown,,,,,,,,sink,sandy bottom,deep water benthic,2,2,Anguilliform,burrowing,118170,FMP101,1,94.9,2,2,TRUE,25676,4.409527367,26173.65043,314083.8052,2453779.728,6.389835574
13414.83.gill,1,deep,DSLP,85,5.275015762,90.83333333,2.937621787,9.7918957,0.99047619,908,2.958085849,1,22,0.258979326,2,3.208172527,1,67292,1615,Not applicable,83.gill,FALSE,1,1,deep water,deep water benthic,3/10/18,2018,black belly dragonfish,0.181,LC,0,0,,0,1500,100,500,83.gill,"crustaceans, lanternfishes",fishbase.org,15,9790,3.990782692,TRUE,11,c,c11,0,Host-associated,Animal,Animal corpus,83gill,gill,marine biome,animal-associated habitat,organic material,host-associated,199,Stomias boa,clearmag beads KF,9/14/20,PS16L1,0.024,,WG,FMP101_P4_gill_1.88,Isaacs  Kidd Midwater Trawl,17.5,83,1,2.5,trawl,USA:CA:San Diego,14.6,deep sea,3,DSLP,0,0,deep,bathypelagic,0,1,0,0,0,0,1,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,1,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.180991254,UBERON:mucus,UBERON:gill,black belly dragonfish,black belly dragonfish,17.5,cm,Missing: not collected,Stomias atriventer,FMP_83,320411,9.7,grams,1,32.674701,-117.355389,9.7,0.986771734,,,25,midwater trawl,3,83.gill,,,659,,Eastern Pacific,Actinopterygii,barbeled dragonfishes,Stomiidae,Stomias,Stomias atriventer,Stomiatiformes,755,SIO,Missing: not collected,,1,,1,,,,,1,,8,13414,,0.857142857,0.142857143,0.834285714,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Stomias atriventer,na,winter,Unknown,,,,,,,,sink,sandy bottom,deep water benthic,3,1,Esociform,accelerator,320411,FMP101,1,17.5,3,3,TRUE,1643,3.215637563,1.73241439,20.78897268,866.2071949,2.937621787
13414.84.gill,1,deep,DSLP,24,1.378477795,27,7.485792965,4.659478714,0.999869783,30402045,7.482902798,30402,2675380,5.34820423,222948,4.663484195,1,523602,46077,Not applicable,84.gill,FALSE,3,4,deep water,deep water benthic,3/10/18,2018,brown catshark,0.3539,DD,0,0,,0,1306,33,500,84.gill,"true shrimps, ephausiid shrimp, squid, fish",fishbase.org,10,9790,3.990782692,TRUE,11,d,d11,0,Host-associated,Animal,Animal corpus,84gill,gill,marine biome,animal-associated habitat,organic material,host-associated,465,Scyliorhinus canicula,clearmag beads KF,9/14/20,PS16L1,0.088,,WG,FMP101_P4_gill_1.88,Isaacs  Kidd Midwater Trawl,19.4,84,1,1.4,trawl,USA:CA:San Diego,6.8,,2,DSLP,0,0,deep,bathypelagic,0,1,0,0,0,0,1,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.353905506,UBERON:mucus,UBERON:gill,brown catshark,brown catshark,19.4,cm,Missing: not collected,Apristurus brunneus,FMP_84,428037,25.84,grams,1,32.674701,-117.355389,25.84,1.412292509,,,69,midwater trawl,3,84.gill,,,660,167,Eastern Pacific,Chondrichthyes,catshark,Scyliorhinidae,Apristurus,Apristurus brunneus,Carcharhiniformes,756,SIO,Missing: not collected,,1,,,,1,,,1,,8,13414,,0.515463918,0.072164948,0.350515464,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Apristurus brunneus,127,winter,Unknown,,,,,,,,sink,sandy bottom,deep water benthic,2,3,Carcharhiniform,crusier sprinter,428037,FMP101,1,19.4,3,3,TRUE,47438,4.676126371,224436.9671,2693243.606,30605040.97,7.485792965
13414.89.g,1,deep,DSLP,107,5.598245351,114.65,4.613063491,12.01097272,0.990440786,3802,3.580012113,4,41,0.534308019,3,3.286905353,1,2151111,1936,Not applicable,89.g,FALSE,1,2,deep water,deep water benthic,3/9/19,2019,highlight hatchetfish,1.0894,LC,0,0,,0,2000,800,500,89.g,"ostracods, , copepods, euphausiids, amphipods, decapods",fishbase.org,1.2,27530,4.439806211,TRUE,1,a,a1,0,Host-associated,Animal,Animal corpus,89g,gill,marine biome,animal-associated habitat,organic material,host-associated,199,Sternoptyx sp. ASIZP 0911478,clearmag beads KF,9/14/20,PS16L1,0.0009,all tissue used,,plate5_89-103_gill.skin.mg.hg,Isaacs  Kidd Midwater Trawl,2,89,0,0.3,Trawl3,USA:CA:San Diego,Missing: not collected,deep sea,1,DSLP,0,0,deep,bathypelagic,0,1,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,1.089406461,UBERON:mucus,UBERON:gill,Highlight hatchetfish,Highlight hatchetfish,2.2,cm,Missing: not collected,Sternoptyx pseudobscura,FMP_89,320404,0.116,grams,1,32.70094444,-117.5519444,0.116,-0.935542011,,,6,midwater trawl,3,89.g,,,1,,Eastern Pacific,Actinopterygii,marine hatchetfishes,Sternoptychidae,Sternoptyx,Sternoptyx pseudobscura,Stomiatiformes,1,SIO,Missing: not collected,,1,,1,,,,,,,1,13414,,0.545454545,0.136363636,nan,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Sternoptyx pseudobscura,na,winter,Unknown,,,,,,,,sink,sandy bottom,deep water benthic,2,2,Carangiform,crusier sprinter,320404,FMP101,1,2.2,2,2,TRUE,1936,3.286905353,3.076980577,36.92376692,41026.40769,4.613063491
13414.91.g,1,deep,DSLP,185,5.825213704,214.6896552,5.025602431,17.92801321,0.990748899,9749,3.98896007,10,819,1.834067253,68,3.658583715,1,650857,4556,Not applicable,91.g,FALSE,1,2,deep water,deep water benthic,3/9/19,2019,dogtooth lampfish,0.6321,LC,0,0,,0,1500,0,500,91.g,crustaceans,fishbase.org,1.9,27530,4.439806211,TRUE,1,c,c1,0,Host-associated,Animal,Animal corpus,91g,gill,marine biome,animal-associated habitat,organic material,host-associated,146,Ceratoscopelus warmingii,clearmag beads KF,9/14/20,PS16L1,0.007,,,plate5_89-103_gill.skin.mg.hg,Isaacs  Kidd Midwater Trawl,4.3,91,0,1.9,Trawl3,USA:CA:San Diego,2.4,deep sea,3,DSLP,0,0,deep,bathypelagic,0,1,0,0,0,0,1,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,1,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.632052951,UBERON:mucus,UBERON:gill,Dogtooth lampfish,Dogtooh lampfish,4.8,cm,Missing: not collected,Ceratoscopelus townsendi,FMP_91,875772,0.699,grams,1,32.70094444,-117.5519444,0.699,-0.155522824,,,18.4,midwater trawl,3,91.g,,,3,,Eastern Pacific,Actinopterygii,lanternfishes,Myctophidae,Ceratoscopelus,Ceratoscopelus townsendi,Myctophiformes,3,SIO,Missing: not collected,,1,,1,,,,,,,1,13414,,0.395833333,0.395833333,0.5,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Ceratoscopelus townsendi,na,winter,Unknown,,,,,,,,sink,sandy bottom,deep water benthic,2,2,Subcarangiform,generalist,875772,FMP101,1,4.8,2,2,TRUE,4563,3.659250469,61.87557175,742.506861,106072.4087,5.025602431
13414.65.gill,1,deep,SSLP,234,5.772284014,256,4.175626723,26.94452384,0.991971454,15208,4.182072104,15,1764,2.167350992,147,3.753889331,1,48914,5674,Not applicable,65.gill,TRUE,2,2,deep water,soft bottom,3/10/18,2018,dover sole,0.9006,NE,0,0,,0,1370,10,300,65.gill,"annelida, crustacean, mollusk, echinoderm, small fish",https://agris.fao.org/agris-search/search.do?recordID=AV20120165264,2,9790,3.990782692,TRUE,9,a,a9,0,Host-associated,Animal,Animal corpus,65gill,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Microstomus pacificus,clearmag beads KF,9/14/20,PS16L1,0.116,,WG,FMP101_P4_gill_1.88,trawl,21,65,1,1,,USA:CA:San Diego,20.4,"sandy bottom, muddy bottom",2,SSLP,0,0,deep,bathypelagic,0,0,0,0,0,0,1,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,1,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.900550696,UBERON:mucus,UBERON:gill,dover sole,dover sole,21,cm,Missing: not collected,Microstomus pacificus,FMP_65,89058,83.4,grams,1,32.674701,-117.355389,83.4,1.921166051,56,,76,benthic trawl,3,65.gill,,,641,319,Eastern Pacific,Actinopterygii,righteye flounders,Pleuronectidae,Microstomus,Microstomus pacificus,Pleuronectiformes,737,SIO,Missing: not collected,1,1,1,1,,1,,,1,,8,13414,,0.095238095,0.047619048,0.971428571,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Microstomus pacificus,278,winter,Unknown,,,,,,,,sink,sandy bottom,soft bottom,1,3,Plueronectiform,flow refuging,89058,FMP101,1,21,3,3,TRUE,5818,3.764773717,144.8449861,1738.139833,14983.96407,4.175626723
13414.A12.gill,1,mid,BE,109,5.800959015,117.4,2.261925682,11.68150429,0.983758701,203,2.307496038,0,16,0.119205006,1,3.168202747,1,18982,1473,Not applicable,A12.gill,FALSE,1,1,subtropical,soft bottom,9/7/20,2020,american eel,0.2132,EN,0,0,,0,464,0,1,A12.gill,"Ephemeroptera, Odonata, Plecoptera, Coleoptera, Trichoptera, and Lepidoptera, as well as gastropods, oligochaetes, amphipods, isopods, mysids, and fish from the families Percidae, Cyprinidae, Ictaluridae, Catostomidae and Anguillidae",fishbase.org,10.2,3,0.477121255,TRUE,2,b,b2,0,Host-associated,Animal,Animal corpus,A12gill,gill,marine biome,animal-associated habitat,organic material,host-associated,284,Anguilla rostrata,columns,12/26/20,PS16L1,0.0776,,,ATLgDNA,fish trap,30.8,113,0,1.6,Great Neck Creek,USA:NY:Long Island,14.5,"boulders and logs, streams, river, muddy silt lakes",2,BE,0,0,mid,mesopelagic,0,0,0,0,0,0,1,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,1,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.213155456,UBERON:mucus,UBERON:gill,American eel,american eel,30.8,cm,Missing: not collected,Anguilla rostrata,FMP_113,7938,62.28,grams,1,40.664722,-73.383187,62.28,1.794348604,43,7.3,152,net,9,A12.gill,,,682,A12,Western Atlantic,Actinopterygii,freshwater eels,Anguillidae,Anguilla,Anguilla rostrata,Anguilliformes,,SIO,Missing: not collected,,1,1,1,1,1,,,1,,2,13414,,0.331168831,0.051948052,0.470779221,oviparous,brackish,catadromous,fish gill,g,gill tissue,"gill, fin",Anguilla rostrata,na,summer,M,,,,,,,,sink,muddy bottom,soft bottom,2,2,Anguilliform,burrowing,7938,FMP101,1,30.8,4,4,TRUE,1473,3.168202747,1.181969192,14.18363031,182.7787411,2.261925682
13414.85.gill,1,mid,DSLP,259,7.122561072,266.2222222,3.446000396,27.53466961,0.991525424,3101,3.491501766,3,216,1.256135173,18,3.493318608,1,44613,3114,Not applicable,85.gill,FALSE,1,2,deep water,deep water benthic,3/10/18,2018,blackbelly eelpout,0.3443,NE,0,0,,0,399,9,500,85.gill,"crustaceans, worms, bivalves, brittle stars",fishbase.org,5,9790,3.990782692,TRUE,11,e,e11,0,Host-associated,Animal,Animal corpus,85gill,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Lycodes brevipes,columns,12/26/20,PS16L1,0.0698,,WG,FMP101_P4_gill_1.88,Isaacs  Kidd Midwater Trawl,20.5,85,1,2,trawl,USA:CA:San Diego,14.5,,2,DSLP,0,0,mid,mesopelagic and benthopelagic,0,0,0,0,0,1,1,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.344278232,UBERON:mucus,UBERON:gill,blackbelly eelpout,black belly eelpout,20.5,cm,Missing: not collected,Lycodes pacificus,FMP_85,1772091,29.66,grams,1,32.674701,-117.355389,29.66,1.472171147,5,,46,midwater trawl,3,85.gill,,,661,140,Eastern Pacific,Actinopterygii,eelpouts,Zoarcidae,Lycodes,Lycodes pacificus,Perciformes,757,SIO,Missing: not collected,1,1,1,,,1,,,,,8,13414,,0.243902439,0.097560976,0.707317073,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Lycodes pacificus,100,winter,Unknown,,,,,,,,sink,sandy bottom,soft bottom,1,3,Labriform,generalist,1772091,FMP101,1,20.5,2,2,TRUE,3114,3.493318608,16.24331148,194.9197377,2792.546386,3.446000396
13414.86.gill,1,mid,DSLP,106,1.850776129,113.7727273,6.429948901,14.25847325,0.999067256,2671030,6.426678766,2671,154920,4.110925583,12910,4.309672743,1,351759,20402,Not applicable,86.gill,FALSE,3,4,deep water,deep water benthic,3/10/18,2018,dogface witch eel,0.039,NE,0,0,,0,1000,64,500,86.gill,crustaceans,fishbase.org,6.2,9790,3.990782692,TRUE,11,f,f11,0,Host-associated,Animal,Animal corpus,86gill,gill,marine biome,animal-associated habitat,organic material,host-associated,284,Nettastoma parviceps,clearmag beads KF,9/14/20,PS16L1,0.058,,WG,FMP101_P4_gill_1.88,Isaacs  Kidd Midwater Trawl,32,86,1,2.9,trawl,USA:CA:San Diego,12.5,deep sea,3,DSLP,0,0,mid,mesopelagic,0,1,0,0,0,0,1,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,1,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.039031982,UBERON:mucus,UBERON:gill,Dogface witch eel,Dogface witch eel,32,cm,Missing: not collected,Facciolella equatorialis,FMP_86,2488690,12.79,grams,1,32.674701,-117.355389,12.79,1.106870544,,,90,midwater trawl,3,86.gill,,,662,,Eastern Pacific,Actinopterygii,duckbill eels,Nettastomatidae,Facciolella,Facciolella equatorialis,Anguilliformes,758,SIO,Missing: not collected,,1,,1,,,,,,,8,13414,,0.19375,0.090625,0.390625,Unknown,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Facciolella equatorialis,na,winter,Unknown,,,,,,,,sink,sandy bottom,deep water benthic,2,2,Anguilliform,burrowing,2488690,FMP101,1,32,2,2,TRUE,21027,4.322777315,13007.55432,156090.6519,2691218.136,6.429948901
